mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu
15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320
18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite
16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst
17.0,8,302.0,140,3449,10.5,70,1,ford torino
41.1,6,83.7,170,3565,14.0,73,3,car_5
14.3,4,360.5,204,2883,9.7,71,3,car_6
21.5,8,107.0,157,3876,16.0,78,2,car_7
11.4,8,422.5,?,4119,16.3,75,1,car_8
36.8,3,141.9,191,4902,17.1,71,1,car_9
46.7,8,454.2,73,4507,10.1,75,3,car_10
16.7,8,279.8,69,2911,17.7,74,1,car_11
16.2,4,80.8,?,1980,19.4,72,1,car_12
44.1,3,415.6,220,3750,21.6,73,3,car_13
31.4,6,292.3,172,1950,13.4,71,2,car_14
31.3,5,395.0,?,4502,11.7,82,1,car_15
21.6,3,106.9,?,4959,17.6,78,3,car_16
34.9,3,116.2,?,3215,9.5,71,1,car_17
32.0,4,439.9,77,2475,20.2,70,3,car_18
9.9,6,308.2,?,4262,13.1,76,1,car_19
11.3,6,83.2,71,2678,14.0,81,2,car_20
40.9,8,133.6,218,5075,10.7,78,2,car_21
13.5,6,325.6,220,3944,22.7,74,3,car_22
22.6,5,127.4,?,2988,20.4,78,2,car_23
14.1,6,204.3,119,4544,13.2,81,2,car_24
40.5,3,68.6,95,2593,11.7,77,2,car_25
36.0,8,406.4,225,4775,19.1,70,1,car_26
25.9,5,339.5,?,1772,16.3,74,2,car_27
10.9,6,140.8,?,3258,24.0,76,2,car_28
9.1,3,345.6,?,2393,10.0,80,1,car_29
42.2,5,334.5,167,4183,9.4,74,2,car_30
39.4,3,401.3,213,2084,22.6,74,1,car_31
10.6,4,331.5,?,5079,20.6,81,3,car_32
33.9,6,315.7,141,3151,17.9,70,1,car_33
14.7,5,198.6,229,4805,18.4,70,2,car_34
15.2,8,180.0,186,2083,16.0,73,1,car_35
20.7,8,350.0,149,3311,9.8,78,2,car_36
27.0,5,116.1,173,1767,13.1,81,3,car_37
43.0,4,310.5,?,4921,9.4,81,1,car_38
11.3,3,106.0,120,3614,21.2,81,3,car_39
17.3,3,210.5,88,2399,14.0,71,3,car_40
10.0,8,242.8,76,3243,12.3,80,1,car_41
46.9,4,309.3,163,3094,17.2,72,1,car_42
46.6,6,125.4,220,3747,16.3,75,2,car_43
